reco_id,created_at,based_on_log_id,employee_id,manager_id,team_id,work_title_snapshot,technologies_snapshot,skill_tags_input,recommended_course_ids,recommended_titles_snapshot,rationale,plan_2weeks,delivery_channel,user_feedback
rec_0001,2026-01-01T15:41:00Z,1085,emp_06,mgr_02,team_beta,Cost optimization study for analytics-api,"FinOps, AWS, Monitoring","finops, cost-optimization, cloud, aws, observability, monitoring","crs_0073, crs_0083, crs_0071","FinOps Fundamentals: Cloud Cost Optimization and Governance: Identity Track, FinOps Fundamentals: Cloud Cost Optimization and Governance for Engineers, FinOps Fundamentals: Cloud Cost Optimization and Governance: Orders Essentials",FinOps Fundamentals: Cloud Cost Optimization and Governance: Identity Track: strengthens finops/cost-optimization with practical patterns | FinOps Fundamentals: Cloud Cost Optimization and Governance for Engineers: strengthens cost-optimization/cloud with practical patterns | FinOps Fundamentals: Cloud Cost Optimization and Governance: Orders Essentials: strengthens cloud/aws with practical patterns,"Week 1: crs_0073 (focus modules, ~3h) + apply to current work item | Week 2: crs_0083 (practice + mini-checklist, ~3h) | Stretch: crs_0071 (optional deep dive, 1–2 sessions)",Teams,None
rec_0002,2026-01-03T11:55:00Z,1014,emp_01,mgr_01,team_alpha,Secrets rotation automation,"Vault, Terraform, Automation","secrets, security, iac, platform, automation","crs_0035, crs_0091, crs_0031","Secrets Management and Rotation Automation with Vault in Practice, Secrets Management and Rotation Automation with Vault for Engineers, Secrets Management and Rotation Automation with Vault Bootcamp",Secrets Management and Rotation Automation with Vault in Practice: strengthens secrets/security with practical patterns | Secrets Management and Rotation Automation with Vault for Engineers: strengthens security/iac with practical patterns | Secrets Management and Rotation Automation with Vault Bootcamp: strengthens iac/platform with practical patterns,"Week 1: crs_0035 (focus modules, ~8h) + apply to current work item | Week 2: crs_0091 (practice + mini-checklist, ~8h) | Stretch: crs_0031 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Helpful
rec_0005,2026-01-04T09:51:00Z,1058,emp_09,mgr_01,team_alpha,CI/CD pipeline hardening for web-dashboard,"GitHub Actions, Docker, Trivy","cicd, automation, containers, security, supply-chain","crs_0007, crs_0096, crs_0040","Supply Chain Security and Container Scanning in CI at Scale, Supply Chain Security and Container Scanning in CI for Engineers, CI/CD with GitHub Actions and Modern DevOps: Notifications Playbook",Supply Chain Security and Container Scanning in CI at Scale: strengthens cicd/automation with practical patterns | Supply Chain Security and Container Scanning in CI for Engineers: strengthens automation/containers with practical patterns | CI/CD with GitHub Actions and Modern DevOps: Notifications Playbook: strengthens containers/security with practical patterns,"Week 1: crs_0007 (focus modules, ~6h) + apply to current work item | Week 2: crs_0096 (practice + mini-checklist, ~6h) | Stretch: crs_0040 (optional deep dive, 1–2 sessions)",Teams,Saved
rec_0004,2026-01-04T13:41:00Z,1023,emp_03,mgr_01,team_alpha,Fix flaky integration tests in platform-core,"PyTest, CI, Mocking","testing, quality, cicd","crs_0015, crs_0088, crs_0077","Scalable Testing Strategies with PyTest and Mocking for Reliable Systems, Testing Strategies with PyTest and Mocking for Reliable Systems for Engineers, Testing Strategies with PyTest and Mocking for Reliable Systems: Search Series",Scalable Testing Strategies with PyTest and Mocking for Reliable Systems: strengthens testing/quality with practical patterns | Testing Strategies with PyTest and Mocking for Reliable Systems for Engineers: strengthens quality/cicd with practical patterns | Testing Strategies with PyTest and Mocking for Reliable Systems: Search Series: strengthens cicd/testing with practical patterns,"Week 1: crs_0015 (focus modules, ~4h) + apply to current work item | Week 2: crs_0088 (practice + mini-checklist, ~4h) | Stretch: crs_0077 (optional deep dive, 1–2 sessions)",Teams,Saved
rec_0003,2026-01-04T14:56:00Z,1015,emp_02,mgr_03,team_gamma,Patch dependency CVE in ml-pipelines,"Dependency Management, SCA, Security","dependency-mgmt, security, sca","crs_0007, crs_0096, crs_0082","Supply Chain Security and Container Scanning in CI at Scale, Supply Chain Security and Container Scanning in CI for Engineers, Scalable Secrets Management and Rotation Automation with Vault",Supply Chain Security and Container Scanning in CI at Scale: strengthens dependency-mgmt/security with practical patterns | Supply Chain Security and Container Scanning in CI for Engineers: strengthens security/sca with practical patterns | Scalable Secrets Management and Rotation Automation with Vault: strengthens sca/dependency-mgmt with practical patterns,"Week 1: crs_0007 (focus modules, ~6h) + apply to current work item | Week 2: crs_0096 (practice + mini-checklist, ~6h) | Stretch: crs_0082 (optional deep dive, 1–2 sessions)",Teams,None
rec_0006,2026-01-04T17:40:00Z,1097,emp_01,mgr_01,team_alpha,Implement rate limiting for profile-service,"Redis, API Gateway, Backend","caching, backend, api-gateway, platform, api-design","crs_0051, crs_0061, crs_0079","Caching and Rate Limiting for High-Scale APIs: Billing Mastery, Production Caching and Rate Limiting for High-Scale APIs, Caching and Rate Limiting for High-Scale APIs: Profile Track",Caching and Rate Limiting for High-Scale APIs: Billing Mastery: strengthens caching/backend with practical patterns | Production Caching and Rate Limiting for High-Scale APIs: strengthens backend/api-gateway with practical patterns | Caching and Rate Limiting for High-Scale APIs: Profile Track: strengthens api-gateway/platform with practical patterns,"Week 1: crs_0051 (focus modules, ~8h) + apply to current work item | Week 2: crs_0061 (practice + mini-checklist, ~8h) | Stretch: crs_0079 (optional deep dive, 1–2 sessions)",Slack,Helpful
rec_0007,2026-01-05T12:47:00Z,1003,emp_04,mgr_03,team_gamma,Cost optimization study for notifications,"FinOps, AWS, Monitoring","finops, cost-optimization, cloud, aws, observability, monitoring","crs_0070, crs_0013, crs_0050","FinOps Fundamentals: Cloud Cost Optimization and Governance at Scale (2026), Modern FinOps Fundamentals: Cloud Cost Optimization and Governance, FinOps Fundamentals: Cloud Cost Optimization and Governance in Practice",FinOps Fundamentals: Cloud Cost Optimization and Governance at Scale (2026): strengthens finops/cost-optimization with practical patterns | Modern FinOps Fundamentals: Cloud Cost Optimization and Governance: strengthens cost-optimization/cloud with practical patterns | FinOps Fundamentals: Cloud Cost Optimization and Governance in Practice: strengthens cloud/aws with practical patterns,"Week 1: crs_0070 (focus modules, ~6h) + apply to current work item | Week 2: crs_0013 (practice + mini-checklist, ~6h) | Stretch: crs_0050 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Saved
rec_0008,2026-01-06T16:23:00Z,1078,emp_05,mgr_02,team_beta,Secrets rotation automation,"Vault, Terraform, Automation","secrets, security, iac, platform, automation","crs_0005, crs_0031, crs_0035","Infrastructure as Code with Terraform and Cloud Foundations: Analytics Essentials, Secrets Management and Rotation Automation with Vault Bootcamp, Secrets Management and Rotation Automation with Vault in Practice",Infrastructure as Code with Terraform and Cloud Foundations: Analytics Essentials: strengthens secrets/security with practical patterns | Secrets Management and Rotation Automation with Vault Bootcamp: strengthens security/iac with practical patterns | Secrets Management and Rotation Automation with Vault in Practice: strengthens iac/platform with practical patterns,"Week 1: crs_0005 (focus modules, ~6h) + apply to current work item | Week 2: crs_0031 (practice + mini-checklist, ~6h) | Stretch: crs_0035 (optional deep dive, 1–2 sessions)",Slack,None
rec_0009,2026-01-07T12:21:00Z,1084,emp_04,mgr_03,team_gamma,Resolve auth redirect loop in analytics-api,"OAuth, OpenID Connect, Nginx","iam, security, edge, reliability","crs_0019, crs_0059, crs_0039","Hands-on Edge Reliability with Nginx and Traffic Management, Modern Edge Reliability with Nginx and Traffic Management, Edge Reliability with Nginx and Traffic Management: Search Essentials",Hands-on Edge Reliability with Nginx and Traffic Management: strengthens iam/security with practical patterns | Modern Edge Reliability with Nginx and Traffic Management: strengthens security/edge with practical patterns | Edge Reliability with Nginx and Traffic Management: Search Essentials: strengthens edge/reliability with practical patterns,"Week 1: crs_0019 (focus modules, ~7h) + apply to current work item | Week 2: crs_0059 (practice + mini-checklist, ~7h) | Stretch: crs_0039 (optional deep dive, 1–2 sessions)",Teams,Helpful
rec_0013,2026-01-08T09:01:00Z,1050,emp_07,mgr_04,team_delta,Streaming ingestion for events,"Kafka, Schema Registry, Python","streaming, kafka, data-platform, schemas, python, backend","crs_0055, crs_0012, crs_0066","Production Practical Data Engineering with Streaming and Kafka, Practical Data Engineering with Streaming and Kafka in Practice, Scalable Go for Backend Services: Concurrency, APIs, and Logging","Production Practical Data Engineering with Streaming and Kafka: strengthens streaming/kafka with practical patterns | Practical Data Engineering with Streaming and Kafka in Practice: strengthens kafka/data-platform with practical patterns | Scalable Go for Backend Services: Concurrency, APIs, and Logging: strengthens data-platform/schemas with practical patterns","Week 1: crs_0055 (focus modules, ~3h) + apply to current work item | Week 2: crs_0012 (practice + mini-checklist, ~3h) | Stretch: crs_0066 (optional deep dive, 1–2 sessions)",Slack,Saved
rec_0010,2026-01-08T10:51:00Z,1002,emp_09,mgr_01,team_alpha,Add audit logging for privileged actions,"Go, Logging, Security","backend, golang, observability, logging, security","crs_0022, crs_0069, crs_0053","Go for Backend Services: Concurrency, APIs, and Logging Foundations, Scalable Go for Backend Services: Concurrency, APIs, and Logging (Capstone), Production Go for Backend Services: Concurrency, APIs, and Logging","Go for Backend Services: Concurrency, APIs, and Logging Foundations: strengthens backend/golang with practical patterns | Scalable Go for Backend Services: Concurrency, APIs, and Logging (Capstone): strengthens golang/observability with practical patterns | Production Go for Backend Services: Concurrency, APIs, and Logging: strengthens observability/logging with practical patterns","Week 1: crs_0022 (focus modules, ~4h) + apply to current work item | Week 2: crs_0069 (practice + mini-checklist, ~4h) | Stretch: crs_0053 (optional deep dive, 1–2 sessions)",Teams,None
rec_0012,2026-01-08T11:33:00Z,1028,emp_04,mgr_03,team_gamma,Secrets rotation automation,"Vault, Terraform, Automation","secrets, security, iac, platform, automation","crs_0031, crs_0005, crs_0008","Secrets Management and Rotation Automation with Vault Bootcamp, Infrastructure as Code with Terraform and Cloud Foundations: Analytics Essentials, Advanced Infrastructure as Code with Terraform and Cloud Foundations",Secrets Management and Rotation Automation with Vault Bootcamp: strengthens secrets/security with practical patterns | Infrastructure as Code with Terraform and Cloud Foundations: Analytics Essentials: strengthens security/iac with practical patterns | Advanced Infrastructure as Code with Terraform and Cloud Foundations: strengthens iac/platform with practical patterns,"Week 1: crs_0031 (focus modules, ~4h) + apply to current work item | Week 2: crs_0005 (practice + mini-checklist, ~4h) | Stretch: crs_0008 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Saved
rec_0011,2026-01-08T17:27:00Z,1021,emp_05,mgr_02,team_beta,Evaluate vector search options for identity-service,"Embeddings, Vector Search, RAG","ml, embeddings, retrieval, vector-search, rag, llm-systems","crs_0080, crs_0074, crs_0057","RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations, Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation, Advanced Vector Search and Embeddings for Retrieval Systems",RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations: strengthens ml/embeddings with practical patterns | Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation: strengthens embeddings/retrieval with practical patterns | Advanced Vector Search and Embeddings for Retrieval Systems: strengthens retrieval/vector-search with practical patterns,"Week 1: crs_0080 (focus modules, ~8h) + apply to current work item | Week 2: crs_0074 (practice + mini-checklist, ~8h) | Stretch: crs_0057 (optional deep dive, 1–2 sessions)",Orchestrate Chat,None
rec_0014,2026-01-09T18:59:00Z,1038,emp_06,mgr_02,team_beta,Resolve auth redirect loop in orders,"OAuth, OpenID Connect, Nginx","iam, security, edge, reliability","crs_0039, crs_0032, crs_0054","Edge Reliability with Nginx and Traffic Management: Search Essentials, Secure Authentication with OAuth and OpenID Connect at Scale, Secure Authentication with OAuth and OpenID Connect: Search Track",Edge Reliability with Nginx and Traffic Management: Search Essentials: strengthens iam/security with practical patterns | Secure Authentication with OAuth and OpenID Connect at Scale: strengthens security/edge with practical patterns | Secure Authentication with OAuth and OpenID Connect: Search Track: strengthens edge/reliability with practical patterns,"Week 1: crs_0039 (focus modules, ~4h) + apply to current work item | Week 2: crs_0032 (practice + mini-checklist, ~4h) | Stretch: crs_0054 (optional deep dive, 1–2 sessions)",Teams,Helpful
rec_0015,2026-01-10T14:24:00Z,1074,emp_11,mgr_03,team_gamma,Evaluate vector search options for profile-service,"Embeddings, Vector Search, RAG","ml, embeddings, retrieval, vector-search, rag, llm-systems","crs_0080, crs_0074, crs_0076","RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations, Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation, Hands-on Vector Search and Embeddings for Retrieval Systems",RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations: strengthens ml/embeddings with practical patterns | Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation: strengthens embeddings/retrieval with practical patterns | Hands-on Vector Search and Embeddings for Retrieval Systems: strengthens retrieval/vector-search with practical patterns,"Week 1: crs_0080 (focus modules, ~8h) + apply to current work item | Week 2: crs_0074 (practice + mini-checklist, ~8h) | Stretch: crs_0076 (optional deep dive, 1–2 sessions)",Orchestrate Chat,None
rec_0016,2026-01-10T15:58:00Z,1075,emp_12,mgr_04,team_delta,Fix flaky integration tests in data-ingest,"PyTest, CI, Mocking","testing, quality, cicd","crs_0088, crs_0024, crs_0015","Testing Strategies with PyTest and Mocking for Reliable Systems for Engineers, Testing Strategies with PyTest and Mocking for Reliable Systems: Analytics Playbook, Scalable Testing Strategies with PyTest and Mocking for Reliable Systems",Testing Strategies with PyTest and Mocking for Reliable Systems for Engineers: strengthens testing/quality with practical patterns | Testing Strategies with PyTest and Mocking for Reliable Systems: Analytics Playbook: strengthens quality/cicd with practical patterns | Scalable Testing Strategies with PyTest and Mocking for Reliable Systems: strengthens cicd/testing with practical patterns,"Week 1: crs_0088 (focus modules, ~4h) + apply to current work item | Week 2: crs_0024 (practice + mini-checklist, ~4h) | Stretch: crs_0015 (optional deep dive, 1–2 sessions)",Orchestrate Chat,Saved
rec_0017,2026-01-11T12:48:00Z,1011,emp_08,mgr_04,team_delta,Feature flag rollout for billing-service,"Feature Flags, Observability, Backend","release-engineering, feature-flags, risk-mitigation, observability, monitoring, alerting, backend, api-design","crs_0047, crs_0063, crs_0014","Feature Flags and Progressive Delivery: Orders Track, Feature Flags and Progressive Delivery for Engineers, Secure Feature Flags and Progressive Delivery",Feature Flags and Progressive Delivery: Orders Track: strengthens release-engineering/feature-flags with practical patterns | Feature Flags and Progressive Delivery for Engineers: strengthens feature-flags/risk-mitigation with practical patterns | Secure Feature Flags and Progressive Delivery: strengthens risk-mitigation/observability with practical patterns,"Week 1: crs_0047 (focus modules, ~8h) + apply to current work item | Week 2: crs_0063 (practice + mini-checklist, ~8h) | Stretch: crs_0014 (optional deep dive, 1–2 sessions)",Orchestrate Chat,None
rec_0018,2026-01-11T16:19:00Z,1089,emp_08,mgr_04,team_delta,Evaluate vector search options for search-api,"Embeddings, Vector Search, RAG","ml, embeddings, retrieval, vector-search, rag, llm-systems","crs_0074, crs_0080, crs_0057","Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation, RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations, Advanced Vector Search and Embeddings for Retrieval Systems",Practical RAG Systems: Build Production-Ready Retrieval-Augmented Generation: strengthens ml/embeddings with practical patterns | RAG Systems: Build Production-Ready Retrieval-Augmented Generation Foundations: strengthens embeddings/retrieval with practical patterns | Advanced Vector Search and Embeddings for Retrieval Systems: strengthens retrieval/vector-search with practical patterns,"Week 1: crs_0074 (focus modules, ~3h) + apply to current work item | Week 2: crs_0080 (practice + mini-checklist, ~3h) | Stretch: crs_0057 (optional deep dive, 1–2 sessions)",Slack,Helpful
rec_0019,2026-01-14T12:23:00Z,1095,emp_05,mgr_02,team_beta,CI/CD pipeline hardening for infra-modules,"GitHub Actions, Docker, Trivy","cicd, automation, containers, security, supply-chain","crs_0096, crs_0007, crs_0091","Supply Chain Security and Container Scanning in CI for Engineers, Supply Chain Security and Container Scanning in CI at Scale, Secrets Management and Rotation Automation with Vault for Engineers",Supply Chain Security and Container Scanning in CI for Engineers: strengthens cicd/automation with practical patterns | Supply Chain Security and Container Scanning in CI at Scale: strengthens automation/containers with practical patterns | Secrets Management and Rotation Automation with Vault for Engineers: strengthens containers/security with practical patterns,"Week 1: crs_0096 (focus modules, ~3h) + apply to current work item | Week 2: crs_0007 (practice + mini-checklist, ~3h) | Stretch: crs_0091 (optional deep dive, 1–2 sessions)",Slack,Helpful
