pulse_id,team_id,week_start,week_end,avg_score,trend,risk_band,signal_blocked_rate,signal_hours_variance_avg,signal_bug_rate_avg,top_signals,recommended_actions,notes
pls_0001,team_alpha,2025-12-08,2025-12-14,4.33,Flat,Green,0.08,1.09,0.07,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time | Encourage pairing on complex work to reduce review churn",Aggregated team-level operational signals only
pls_0002,team_alpha,2025-12-15,2025-12-21,4.51,Up,Green,0.11,1.0,0.09,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time | Reduce meeting load by 1 block per week for focus time",Aggregated team-level operational signals only
pls_0003,team_alpha,2025-12-22,2025-12-28,4.3,Down,Yellow,0.12,1.4,0.1,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Encourage pairing on complex work to reduce review churn | Reduce meeting load by 1 block per week for focus time",Aggregated team-level operational signals only
pls_0004,team_alpha,2025-12-29,2026-01-04,4.1,Down,Yellow,0.0,1.0,0.22,quality-regressions,"Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time | Encourage pairing on complex work to reduce review churn",Aggregated team-level operational signals only
pls_0005,team_alpha,2026-01-05,2026-01-11,4.17,Flat,Green,0.25,-0.25,0.11,blocked-work,Run a 15-min dependency unblock review and assign owners | Encourage pairing on complex work to reduce review churn | Encourage pairing on complex work to reduce review churn,Aggregated team-level operational signals only
pls_0006,team_alpha,2026-01-12,2026-01-18,4.18,Flat,Green,0.17,-1.0,0.06,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Encourage pairing on complex work to reduce review churn | Reduce meeting load by 1 block per week for focus time",Aggregated team-level operational signals only
pls_0007,team_alpha,2026-01-19,2026-01-25,4.2,Flat,Green,0.0,-1.8,0.25,quality-regressions,"Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time | Reduce meeting load by 1 block per week for focus time",Aggregated team-level operational signals only
pls_0008,team_alpha,2026-01-26,2026-02-01,3.88,Down,Yellow,0.33,0.0,0.06,blocked-work,Run a 15-min dependency unblock review and assign owners | Encourage pairing on complex work to reduce review churn | Encourage pairing on complex work to reduce review churn,Aggregated team-level operational signals only
pls_0009,team_beta,2025-12-08,2025-12-14,4.53,Flat,Green,0.06,0.69,0.11,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time | Rotate on-call load and ensure post-incident follow-ups are time-boxed",Aggregated team-level operational signals only
pls_0010,team_beta,2025-12-15,2025-12-21,4.11,Down,Yellow,0.07,1.18,0.12,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time | Reduce meeting load by 1 block per week for focus time",Aggregated team-level operational signals only
pls_0011,team_beta,2025-12-22,2025-12-28,4.32,Up,Green,0.05,0.31,0.15,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Rotate on-call load and ensure post-incident follow-ups are time-boxed | Encourage pairing on complex work to reduce review churn",Aggregated team-level operational signals only
pls_0012,team_beta,2025-12-29,2026-01-04,3.8,Down,Yellow,0.0,-1.0,0.67,quality-regressions,"Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time | Encourage pairing on complex work to reduce review churn",Aggregated team-level operational signals only
pls_0013,team_beta,2026-01-05,2026-01-11,3.85,Flat,Yellow,0.0,3.67,0.13,delivery-overrun,Trim scope or split large items; add a mid-sprint checkpoint | Rotate on-call load and ensure post-incident follow-ups are time-boxed | Reduce meeting load by 1 block per week for focus time,Aggregated team-level operational signals only
pls_0014,team_beta,2026-01-12,2026-01-18,4.02,Up,Green,0.12,-0.62,0.21,quality-regressions,"Schedule a quality sprint slice: tests, CI stability, and monitoring | Encourage pairing on complex work to reduce review churn | Reduce meeting load by 1 block per week for focus time",Aggregated team-level operational signals only
pls_0015,team_beta,2026-01-19,2026-01-25,3.5,Down,Yellow,0.25,-3.5,0.55,"blocked-work, quality-regressions","Run a 15-min dependency unblock review and assign owners | Schedule a quality sprint slice: tests, CI stability, and monitoring | Encourage pairing on complex work to reduce review churn",Aggregated team-level operational signals only
pls_0016,team_beta,2026-01-26,2026-02-01,4.7,Up,Green,0.0,-2.0,0.0,"blocked-work, stable-throughput",Run a 15-min dependency unblock review and assign owners | Rotate on-call load and ensure post-incident follow-ups are time-boxed | Reduce meeting load by 1 block per week for focus time,Aggregated team-level operational signals only
pls_0017,team_gamma,2025-12-08,2025-12-14,4.29,Flat,Green,0.13,1.38,0.1,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Rotate on-call load and ensure post-incident follow-ups are time-boxed | Encourage pairing on complex work to reduce review churn",Aggregated team-level operational signals only
pls_0018,team_gamma,2025-12-15,2025-12-21,4.02,Down,Yellow,0.1,2.18,0.07,delivery-overrun,Trim scope or split large items; add a mid-sprint checkpoint | Reduce meeting load by 1 block per week for focus time | Rotate on-call load and ensure post-incident follow-ups are time-boxed,Aggregated team-level operational signals only
pls_0019,team_gamma,2025-12-22,2025-12-28,4.32,Up,Green,0.11,1.61,0.07,"delivery-overrun, stable-throughput",Trim scope or split large items; add a mid-sprint checkpoint | Reduce meeting load by 1 block per week for focus time | Reduce meeting load by 1 block per week for focus time,Aggregated team-level operational signals only
pls_0020,team_gamma,2025-12-29,2026-01-04,3.99,Down,Yellow,0.33,-3.33,0.05,blocked-work,Run a 15-min dependency unblock review and assign owners | Rotate on-call load and ensure post-incident follow-ups are time-boxed | Reduce meeting load by 1 block per week for focus time,Aggregated team-level operational signals only
pls_0021,team_gamma,2026-01-05,2026-01-11,4.67,Up,Green,0.0,-4.4,0.1,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Rotate on-call load and ensure post-incident follow-ups are time-boxed | Reduce meeting load by 1 block per week for focus time",Aggregated team-level operational signals only
pls_0022,team_gamma,2026-01-12,2026-01-18,3.2,Down,Yellow,0.29,-4.0,0.36,"blocked-work, quality-regressions","Run a 15-min dependency unblock review and assign owners | Schedule a quality sprint slice: tests, CI stability, and monitoring | Rotate on-call load and ensure post-incident follow-ups are time-boxed",Aggregated team-level operational signals only
pls_0023,team_gamma,2026-01-19,2026-01-25,4.1,Up,Green,0.0,0.0,0.2,quality-regressions,"Schedule a quality sprint slice: tests, CI stability, and monitoring | Rotate on-call load and ensure post-incident follow-ups are time-boxed | Reduce meeting load by 1 block per week for focus time",Aggregated team-level operational signals only
pls_0024,team_gamma,2026-01-26,2026-02-01,3.1,Down,Yellow,0.33,-0.33,0.38,"blocked-work, quality-regressions","Run a 15-min dependency unblock review and assign owners | Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time",Aggregated team-level operational signals only
pls_0025,team_delta,2025-12-08,2025-12-14,4.32,Flat,Green,0.09,1.56,0.1,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time | Encourage pairing on complex work to reduce review churn",Aggregated team-level operational signals only
pls_0026,team_delta,2025-12-15,2025-12-21,4.31,Flat,Green,0.1,1.06,0.08,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Rotate on-call load and ensure post-incident follow-ups are time-boxed | Encourage pairing on complex work to reduce review churn",Aggregated team-level operational signals only
pls_0027,team_delta,2025-12-22,2025-12-28,4.5,Up,Green,0.12,0.96,0.09,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time | Encourage pairing on complex work to reduce review churn",Aggregated team-level operational signals only
pls_0028,team_delta,2025-12-29,2026-01-04,4.7,Up,Green,0.0,-4.0,0.0,"blocked-work, stable-throughput",Run a 15-min dependency unblock review and assign owners | Reduce meeting load by 1 block per week for focus time | Encourage pairing on complex work to reduce review churn,Aggregated team-level operational signals only
pls_0029,team_delta,2026-01-05,2026-01-11,4.56,Flat,Green,0.0,0.86,0.12,"quality-regressions, stable-throughput","Schedule a quality sprint slice: tests, CI stability, and monitoring | Encourage pairing on complex work to reduce review churn | Reduce meeting load by 1 block per week for focus time",Aggregated team-level operational signals only
pls_0030,team_delta,2026-01-12,2026-01-18,4.09,Down,Yellow,0.1,1.1,0.2,quality-regressions,"Schedule a quality sprint slice: tests, CI stability, and monitoring | Rotate on-call load and ensure post-incident follow-ups are time-boxed | Rotate on-call load and ensure post-incident follow-ups are time-boxed",Aggregated team-level operational signals only
pls_0031,team_delta,2026-01-19,2026-01-25,3.7,Down,Yellow,0.17,-0.5,0.21,quality-regressions,"Schedule a quality sprint slice: tests, CI stability, and monitoring | Reduce meeting load by 1 block per week for focus time | Rotate on-call load and ensure post-incident follow-ups are time-boxed",Aggregated team-level operational signals only
pls_0032,team_delta,2026-01-26,2026-02-01,3.45,Down,Yellow,0.5,-3.0,0.17,blocked-work,Run a 15-min dependency unblock review and assign owners | Reduce meeting load by 1 block per week for focus time | Rotate on-call load and ensure post-incident follow-ups are time-boxed,Aggregated team-level operational signals only
